seed,n_cells,n_bins,n_clones,lamda,n_chrom,dist_method,tree_method,quartet_distance,rf_distance,transfer_distance,triplet_distance,rootsplit_distance
6,20,1000,6,2,10,sconce2,fastme,0.0739,0.1111,0.2222,0.0256,0.0000
6,20,1000,6,2,10,med2,fastme,0.0391,0.0556,0.1111,0.0135,0.0000
6,20,1000,6,2,10,sconce2,srnj1,0.0391,0.0556,0.1111,0.0135,0.0000
6,20,1000,6,2,10,med2,srnj1,0.0902,0.2222,0.3333,0.0301,0.0000
6,20,1000,6,2,10,sconce2,srnj,0.0448,0.1111,0.1667,0.0150,0.0000
6,20,1000,6,2,10,med2,srnj,0.0932,0.1667,0.2778,0.0316,0.0000
6,20,1000,6,2,10,sconce2,srnjmaxlca,0.0598,0.1667,0.2778,0.0195,0.0000
6,20,1000,6,2,10,med2,srnjmaxlca,0.0057,0.0556,0.0556,0.0015,0.0000
6,50,1000,6,2,10,sconce2,nj,0.0676,0.1458,0.2500,0.0982,0.0000
6,50,1000,6,2,10,med2,nj,0.0776,0.2708,0.4792,0.1376,0.0000
6,50,1000,6,2,10,sconce2,snj,0.1920,0.4792,0.8125,0.2203,0.0000
6,50,1000,6,2,10,med2,snj,0.2483,0.6250,1.2708,0.4065,0.6667
6,50,1000,6,2,10,sconce2,rnj,0.0626,0.1667,0.2500,0.1331,0.0000
6,50,1000,6,2,10,med2,rnj,0.0806,0.2917,0.5000,0.1385,0.0000
6,50,1000,6,2,10,sconce2,anj,0.0522,0.1042,0.1875,0.0924,0.0000
6,50,1000,6,2,10,med2,anj,0.0788,0.2917,0.5000,0.1380,0.0000
6,50,1000,6,2,10,sconce2,fastme,0.0699,0.1667,0.2708,0.0991,0.0000
6,50,1000,6,2,10,med2,fastme,0.0780,0.2500,0.4583,0.1378,0.0000
6,50,1000,6,2,10,sconce2,srnj1,0.1550,0.3542,0.6458,0.1929,0.0000
6,50,1000,6,2,10,med2,srnj1,0.2240,0.7083,1.2708,0.2394,0.0000
6,50,1000,6,2,10,sconce2,srnj,0.2177,0.3542,0.7292,0.2567,0.0000
6,50,1000,6,2,10,med2,srnj,0.1713,0.5000,0.8958,0.2070,0.0000
6,50,1000,6,2,10,sconce2,srnjmaxlca,0.3283,0.5625,1.3125,0.3047,0.0000
6,50,1000,6,2,10,med2,srnjmaxlca,0.2716,0.5625,1.1458,0.2759,0.0000
7,20,1000,6,2,10,sconce2,nj,0.0000,0.0000,0.0000,0.0000,0.0000
7,20,1000,6,2,10,med2,nj,0.0160,0.1667,0.1667,0.0045,0.0000
7,20,1000,6,2,10,sconce2,snj,0.0100,0.0556,0.0556,0.0030,0.0000
7,20,1000,6,2,10,med2,snj,0.0130,0.1111,0.1111,0.0038,0.0000
7,20,1000,6,2,10,sconce2,rnj,0.0100,0.0556,0.0556,0.0030,0.0000
7,20,1000,6,2,10,med2,rnj,0.0130,0.1111,0.1111,0.0038,0.0000
7,20,1000,6,2,10,sconce2,anj,0.0000,0.0000,0.0000,0.0000,0.0000
7,20,1000,6,2,10,med2,anj,0.0160,0.1667,0.1667,0.0045,0.0000
7,20,1000,6,2,10,sconce2,fastme,0.0100,0.0556,0.0556,0.0030,0.0000
7,20,1000,6,2,10,med2,fastme,0.0160,0.1667,0.1667,0.0045,0.0000
7,20,1000,6,2,10,sconce2,srnj1,0.0000,0.0000,0.0000,0.0000,0.0000
7,20,1000,6,2,10,med2,srnj1,0.0388,0.2222,0.2222,0.0113,0.0000
7,20,1000,6,2,10,sconce2,srnj,0.0000,0.0000,0.0000,0.0000,0.0000
7,20,1000,6,2,10,med2,srnj,0.0256,0.1111,0.1667,0.0075,0.0000
7,20,1000,6,2,10,sconce2,srnjmaxlca,0.0100,0.0556,0.0556,0.0030,0.0000
7,20,1000,6,2,10,med2,srnjmaxlca,0.0785,0.3333,0.3333,0.0271,0.0000
7,50,1000,6,2,10,sconce2,nj,0.0130,0.1667,0.1667,0.0042,0.0000
7,50,1000,6,2,10,med2,nj,0.0156,0.2292,0.2292,0.0048,0.0000
7,50,1000,6,2,10,sconce2,snj,0.0213,0.2083,0.2292,0.0086,0.0000
7,50,1000,6,2,10,med2,snj,0.0257,0.3542,0.4167,0.0080,0.0000
7,50,1000,6,2,10,sconce2,rnj,0.0042,0.1250,0.1250,0.0011,0.0000
7,50,1000,6,2,10,med2,rnj,0.0101,0.2708,0.2917,0.0027,0.0000
7,50,1000,6,2,10,sconce2,anj,0.0131,0.1667,0.1667,0.0042,0.0000
7,50,1000,6,2,10,med2,anj,0.0101,0.2708,0.2917,0.0027,0.0000
7,50,1000,6,2,10,sconce2,fastme,0.0119,0.1250,0.1250,0.0039,0.0000
7,50,1000,6,2,10,med2,fastme,0.0138,0.1875,0.1875,0.0044,0.0000
7,50,1000,6,2,10,sconce2,srnj1,0.0128,0.1458,0.1667,0.0041,0.0000
7,50,1000,6,2,10,med2,srnj1,0.0152,0.2500,0.2500,0.0048,0.0000
7,50,1000,6,2,10,sconce2,srnj,0.0025,0.0833,0.0833,0.0007,0.0000
7,50,1000,6,2,10,med2,srnj,0.0073,0.2500,0.2500,0.0019,0.0000
7,50,1000,6,2,10,sconce2,srnjmaxlca,0.0360,0.1667,0.2500,0.0157,0.0000
7,50,1000,6,2,10,med2,srnjmaxlca,0.0178,0.2917,0.3125,0.0054,0.0000
8,20,1000,6,2,10,sconce2,nj,0.0338,0.1111,0.1667,0.0105,0.0000
8,20,1000,6,2,10,med2,nj,0.0080,0.0556,0.0556,0.0023,0.0000
8,20,1000,6,2,10,sconce2,snj,0.0080,0.0556,0.0556,0.0023,0.0000
8,20,1000,6,2,10,med2,snj,0.0227,0.1667,0.1667,0.0068,0.0000
8,20,1000,6,2,10,sconce2,rnj,0.0749,0.1111,0.1667,0.0391,0.0000
8,20,1000,6,2,10,med2,rnj,0.1230,0.1667,0.2778,0.1165,0.0000
8,20,1000,6,2,10,sconce2,anj,0.0281,0.0556,0.1111,0.0090,0.0000
8,20,1000,6,2,10,med2,anj,0.1230,0.1667,0.2778,0.1165,0.0000
8,20,1000,6,2,10,sconce2,fastme,0.0338,0.1111,0.1667,0.0105,0.0000
8,20,1000,6,2,10,med2,fastme,0.0160,0.1111,0.1111,0.0045,0.0000
8,20,1000,6,2,10,sconce2,srnj1,0.0281,0.0556,0.1111,0.0090,0.0000
8,20,1000,6,2,10,med2,srnj1,0.2757,0.5000,0.8889,0.1504,0.0000
8,20,1000,6,2,10,sconce2,srnj,0.0735,0.1667,0.1667,0.0383,0.0000
8,20,1000,6,2,10,med2,srnj,0.0845,0.2778,0.2778,0.0414,0.0000
8,20,1000,6,2,10,sconce2,srnjmaxlca,0.1387,0.2778,0.2778,0.0992,0.0000
8,20,1000,6,2,10,med2,srnjmaxlca,0.0545,0.2222,0.3333,0.0165,0.0000
8,50,1000,6,2,10,sconce2,nj,0.0069,0.0833,0.0833,0.0021,0.0000
8,50,1000,6,2,10,med2,nj,0.0049,0.1042,0.1042,0.0014,0.0000
8,50,1000,6,2,10,sconce2,snj,0.0052,0.0833,0.0833,0.0015,0.0000
8,50,1000,6,2,10,med2,snj,0.1000,0.3125,0.4375,0.0458,0.0000
8,50,1000,6,2,10,sconce2,rnj,0.0043,0.0625,0.0625,0.0013,0.0000
8,50,1000,6,2,10,med2,rnj,0.0049,0.1250,0.1250,0.0014,0.0000
8,50,1000,6,2,10,sconce2,anj,0.0077,0.1250,0.1250,0.0023,0.0000
8,50,1000,6,2,10,med2,anj,0.0049,0.1250,0.1250,0.0014,0.0000
8,50,1000,6,2,10,sconce2,fastme,0.0067,0.0625,0.0625,0.0021,0.0000
8,50,1000,6,2,10,med2,fastme,0.0051,0.1250,0.1250,0.0015,0.0000
8,50,1000,6,2,10,sconce2,srnj1,0.0552,0.2083,0.2917,0.0506,0.0000
8,50,1000,6,2,10,med2,srnj1,0.0271,0.2500,0.2708,0.0187,0.0000
8,50,1000,6,2,10,sconce2,srnj,0.0043,0.0625,0.0625,0.0013,0.0000
8,50,1000,6,2,10,med2,srnj,0.0083,0.1875,0.2083,0.0024,0.0000
8,50,1000,6,2,10,sconce2,srnjmaxlca,0.0087,0.1042,0.1042,0.0025,0.0000
8,50,1000,6,2,10,med2,srnjmaxlca,0.0555,0.2083,0.3125,0.0507,0.0000
9,20,1000,6,2,10,sconce2,nj,0.0030,0.0556,0.0556,0.0008,0.0000
9,20,1000,6,2,10,med2,nj,0.0030,0.0556,0.0556,0.0008,0.0000
