n_cells,seed,method,est_time,num_calls
100,1,fastme,497.13229954,4950
100,1,anj,495.01623737,4950
100,2,fastme,498.14603212,4950
100,2,anj,495.01695258,4950
100,3,fastme,497.11428658,4950
100,3,anj,495.01667658,4950
100,4,fastme,497.08512054,4950
100,4,anj,495.01582692,4950
100,5,fastme,497.09798000,4950
100,5,anj,495.01630412,4950
100,6,fastme,497.10749433,4950
100,6,anj,495.01609242,4950
100,7,fastme,497.15378954,4950
100,7,anj,495.01610346,4950
100,8,fastme,497.12895758,4950
100,8,anj,495.01634746,4950
100,9,fastme,497.11083383,4950
100,9,anj,495.01563383,4950
100,10,fastme,497.04018400,4950
100,10,anj,495.01632158,4950
100,11,fastme,497.28695429,4950
100,11,anj,495.01623975,4950
100,12,fastme,497.11881058,4950
100,12,anj,495.01638808,4950
100,13,fastme,497.12457242,4950
100,13,anj,495.01632237,4950
100,14,fastme,497.08854071,4950
100,14,anj,495.01652717,4950
100,15,fastme,497.20648179,4950
100,15,anj,495.01677033,4950
100,16,fastme,497.16592625,4950
